Episode;Steps;TotalReward;Epsilon
1;20;220,66;1,0000
2;600;-222,60;0,9993
3;180;167,76;0,9986
4;206;164,40;0,9979
5;600;-249,45;0,9972
6;284;102,82;0,9965
7;600;-214,15;0,9958
8;6;-202,55;0,9951
9;481;32,30;0,9944
10;160;176,06;0,9937
11;600;-220,60;0,9930
12;171;177,00;0,9923
13;255;-251,99;0,9916
14;527;-396,31;0,9909
15;388;52,93;0,9902
16;152;157,44;0,9896
17;5;-202,94;0,9889
18;83;-209,52;0,9882
19;189;-247,43;0,9875
20;4;-202,43;0,9868
21;600;-215,75;0,9861
22;10;-204,59;0,9854
23;582;23,94;0,9847
24;191;153,80;0,9840
25;119;158,67;0,9833
26;600;-222,60;0,9826
27;240;136,21;0,9820
28;60;188,96;0,9813
29;140;-228,94;0,9806
30;474;19,72;0,9799
31;139;138,97;0,9792
32;167;145,54;0,9785
33;150;164,91;0,9778
34;395;-291,64;0,9772
35;6;-202,55;0,9765
36;207;-261,11;0,9758
37;175;163,96;0,9751
38;164;-236,23;0,9744
39;12;-204,71;0,9737
40;318;92,03;0,9731
41;14;-206,03;0,9724
42;135;202,66;0,9717
43;317;-272,96;0,9710
44;79;200,72;0,9703
45;126;172,30;0,9697
46;249;153,47;0,9690
47;397;85,39;0,9683
48;600;-164,40;0,9676
49;4;-202,43;0,9669
50;600;-259,40;0,9663
51;600;-214,90;0,9656
52;503;-417,87;0,9649
53;357;42,19;0,9642
54;228;-276,22;0,9636
55;187;164,99;0,9629
56;253;-271,02;0,9622
57;600;-220,45;0,9615
58;11;-203,30;0,9609
59;578;-411,22;0,9602
60;600;-200,25;0,9595
61;327;93,69;0,9589
62;4;-202,43;0,9582
63;317;-259,86;0,9575
64;75;-222,84;0,9568
65;581;-12,00;0,9562
66;63;-219,52;0,9555
67;10;-203,69;0,9548
68;216;154,55;0,9542
69;163;-241,57;0,9535
70;122;178,39;0,9528
71;5;-202,94;0,9522
72;590;27,16;0,9515
73;139;163,27;0,9508
74;126;152,05;0,9502
75;4;-202,43;0,9495
76;61;197,50;0,9488
77;161;148,15;0,9482
78;275;114,01;0,9475
79;215;-251,59;0,9468
80;555;29,81;0,9462
81;287;142,69;0,9455
82;90;-198,94;0,9449
83;284;143,62;0,9442
84;7;-203,06;0,9435
85;113;168,63;0,9429
86;600;-236,50;0,9422
87;2;-200,06;0,9416
88;205;130,81;0,9409
89;573;-389,22;0,9402
90;134;168,22;0,9396
91;106;-234,25;0,9389
92;345;101,51;0,9383
93;570;12,36;0,9376
94;115;-225,24;0,9370
95;267;123,14;0,9363
96;235;-284,04;0,9356
97;276;-309,05;0,9350
98;156;183,00;0,9343
99;495;62,16;0,9337
100;151;-221,85;0,9330
101;89;-222,28;0,9324
102;590;-439,24;0,9317
103;440;48,91;0,9311
104;31;-210,00;0,9304
105;186;208,65;0,9298
106;6;-203,45;0,9291
107;172;176,74;0,9285
108;130;166,41;0,9278
109;230;-245,79;0,9272
110;42;216,04;0,9265
111;83;-218,92;0,9259
112;522;17,04;0,9252
113;157;-221,51;0,9246
114;4;-202,43;0,9239
115;123;170,68;0,9233
116;232;-259,36;0,9226
117;577;-421,71;0,9220
118;244;133,82;0,9213
119;6;-202,55;0,9207
120;600;-246,60;0,9200
121;158;172,08;0,9194
122;192;-244,61;0,9188
123;4;-202,43;0,9181
124;556;65,40;0,9175
125;100;200,91;0,9168
126;173;167,93;0,9162
127;84;190,32;0,9155
128;117;180,29;0,9149
129;74;-202,73;0,9143
130;117;-219,86;0,9136
131;391;66,55;0,9130
132;315;139,56;0,9123
133;186;140,90;0,9117
134;88;196,88;0,9111
135;101;176,85;0,9104
136;50;188,76;0,9098
137;296;109,00;0,9092
138;72;219,04;0,9085
139;327;129,14;0,9079
140;78;213,53;0,9073
141;600;-224,45;0,9066
142;161;-223,90;0,9060
143;600;-214,90;0,9053
144;600;-203,85;0,9047
145;600;-141,70;0,9041
146;214;-264,53;0,9034
147;167;177,84;0,9028
148;600;-173,75;0,9022
149;13;-205,32;0,9016
150;4;-202,43;0,9009
151;462;-356,31;0,9003
152;4;-202,43;0,8997
153;102;256,54;0,8990
154;600;-124,15;0,8984
155;427;-267,96;0,8978
156;352;-314,81;0,8971
157;140;-218,64;0,8965
158;12;-204,71;0,8959
159;4;-202,43;0,8953
160;108;200,78;0,8946
161;479;45,32;0,8940
162;108;-194,52;0,8934
163;4;-202,43;0,8928
164;111;-222,75;0,8921
165;168;183,83;0,8915
166;234;148,12;0,8909
167;290;129,56;0,8903
168;161;150,70;0,8896
169;138;-232,07;0,8890
170;600;-191,80;0,8884
171;4;-202,43;0,8878
172;171;146,55;0,8871
173;477;96,69;0,8865
174;600;-220,15;0,8859
175;367;82,99;0,8853
176;600;-209,20;0,8847
177;262;-266,81;0,8840
178;327;83,84;0,8834
179;41;195,10;0,8828
180;436;-340,15;0,8822
181;4;-202,43;0,8816
182;139;171,12;0,8810
183;600;-234,85;0,8803
184;218;-244,87;0,8797
185;528;1,63;0,8791
186;600;-224,80;0,8785
187;213;117,53;0,8779
188;9;-203,18;0,8773
189;162;221,04;0,8767
190;173;146,18;0,8760
191;600;-258,55;0,8754
192;4;-202,43;0,8748
193;383;65,83;0,8742
194;133;167,93;0,8736
195;600;-189,25;0,8730
196;201;128,40;0,8724
197;424;-341,88;0,8718
198;600;-196,30;0,8711
199;101;166,05;0,8705
200;600;-176,00;0,8699
201;299;-230,73;0,8693
202;87;-223,86;0,8687
203;600;-218,60;0,8681
204;193;-268,52;0,8675
205;179;163,77;0,8669
206;92;191,24;0,8663
207;4;-202,43;0,8657
208;99;214,37;0,8651
209;600;-188,15;0,8645
210;5;-202,94;0,8639
211;2;199,49;0,8632
212;201;-233,25;0,8626
213;173;159,88;0,8620
214;7;-203,06;0,8614
215;93;203,68;0,8608
216;4;-202,43;0,8602
217;74;184,02;0,8596
218;140;219,36;0,8590
219;600;-233,90;0,8584
220;253;-233,87;0,8578
221;405;-311,49;0,8572
222;600;-239,35;0,8566
223;91;-219,40;0,8560
224;160;-229,89;0,8554
225;174;153,72;0,8548
226;263;102,68;0,8542
227;122;-249,11;0,8536
228;116;171,80;0,8530
229;290;-265,64;0,8524
230;4;-202,43;0,8518
231;191;-267,50;0,8512
232;147;203,09;0,8506
233;120;188,56;0,8501
234;282;118,84;0,8495
235;57;-210,66;0,8489
236;167;188,19;0,8483
237;137;200,04;0,8477
238;600;-238,35;0,8471
239;234;122,17;0,8465
240;314;79,77;0,8459
241;49;200,42;0,8453
242;300;116,86;0,8447
243;4;-202,43;0,8441
244;64;-214,73;0,8435
245;240;114,06;0,8429
246;600;-170,35;0,8424
247;207;140,54;0,8418
248;104;165,02;0,8412
249;192;150,44;0,8406
250;263;101,63;0,8400
251;139;166,92;0,8394
252;355;-323,24;0,8388
253;4;-202,43;0,8382
254;154;173,52;0,8376
255;78;183,88;0,8371
256;557;74,29;0,8365
257;327;122,69;0,8359
258;51;233,55;0,8353
259;5;-202,94;0,8347
260;4;-202,43;0,8341
261;128;-220,12;0,8335
262;39;218,57;0,8330
263;136;179,30;0,8324
264;97;176,99;0,8318
265;162;165,84;0,8312
266;600;-264,05;0,8306
267;600;-211,45;0,8301
268;2;-200,06;0,8295
269;171;143,45;0,8289
270;600;-202,70;0,8283
271;190;154,96;0,8277
272;292;132,94;0,8272
273;246;-285,55;0,8266
274;404;38,77;0,8260
275;8;-203,57;0,8254
276;600;-212,35;0,8248
277;358;-304,72;0,8243
278;271;104,05;0,8237
279;160;155,91;0,8231
280;328;144,08;0,8225
281;174;145,87;0,8220
282;45;-196,99;0,8214
283;217;133,09;0,8208
284;234;-282,23;0,8202
285;5;-202,94;0,8197
286;2;199,94;0,8191
287;600;-271,75;0,8185
288;534;59,42;0,8179
289;77;-205,36;0,8174
290;218;-242,37;0,8168
291;456;-339,75;0,8162
292;600;-194,45;0,8156
293;2;-202,11;0,8151
294;600;-200,95;0,8145
295;600;-222,40;0,8139
296;438;170,03;0,8134
297;132;187,69;0,8128
298;197;139,69;0,8122
299;166;-231,15;0,8117
300;446;46,35;0,8111
301;260;-286,99;0,8105
302;4;-202,43;0,8100
303;11;-204,20;0,8094
304;485;18,86;0,8088
305;266;-266,55;0,8083
306;5;-202,94;0,8077
307;76;-200,55;0,8071
308;187;138,39;0,8066
309;301;95,60;0,8060
310;4;-202,43;0,8054
311;4;-202,43;0,8049
312;204;-245,93;0,8043
313;308;146,48;0,8037
314;344;-284,48;0,8032
315;82;181,69;0,8026
316;147;-211,86;0,8021
317;369;87,22;0,8015
318;4;-202,43;0,8009
319;324;-331,43;0,8004
320;238;121,83;0,7998
321;137;176,34;0,7993
322;215;165,16;0,7987
323;191;-264,95;0,7981
324;240;141,26;0,7976
325;248;177,73;0,7970
326;419;75,77;0,7965
327;133;201,93;0,7959
328;360;-322,34;0,7953
329;492;-335,26;0,7948
330;209;-258,58;0,7942
331;158;175,13;0,7937
332;176;-197,85;0,7931
333;255;-285,49;0,7926
334;241;135,25;0,7920
335;38;193,38;0,7915
336;600;-224,60;0,7909
337;7;-203,06;0,7903
338;140;-237,09;0,7898
339;203;-257,92;0,7892
340;91;-198,05;0,7887
341;207;-250,26;0,7881
342;92;186,44;0,7876
343;4;-202,43;0,7870
344;98;-205,47;0,7865
345;600;-224,80;0,7859
346;127;-227,26;0,7854
347;566;40,50;0,7848
348;203;141,33;0,7843
349;230;131,06;0,7837
350;600;-205,40;0,7832
351;11;-204,20;0,7826
352;600;-217,00;0,7821
353;4;-202,43;0,7815
354;4;-202,43;0,7810
355;462;-300,01;0,7804
356;600;-208,20;0,7799
357;109;173,77;0,7794
358;433;110,93;0,7788
359;88;207,28;0,7783
360;600;-221,85;0,7777
361;114;-193,68;0,7772
362;517;-346,71;0,7766
363;87;203,04;0,7761
364;221;-254,15;0,7755
365;331;101,55;0,7750
366;4;-202,43;0,7745
367;105;-234,24;0,7739
368;600;-229,70;0,7734
369;332;117,74;0,7728
370;338;98,08;0,7723
371;109;173,87;0,7718
372;314;74,72;0,7712
373;600;-238,80;0,7707
374;305;109,56;0,7701
375;244;-279,98;0,7696
376;96;207,00;0,7691
377;135;-241,19;0,7685
378;87;-201,11;0,7680
379;98;-211,82;0,7674
380;83;234,08;0,7669
381;81;229,25;0,7664
382;367;-332,46;0,7658
383;267;-277,71;0,7653
384;114;172,67;0,7648
385;112;197,54;0,7642
386;226;123,80;0,7637
387;217;181,79;0,7632
388;600;-213,30;0,7626
389;2;-200,51;0,7621
390;232;-264,81;0,7616
391;123;-206,22;0,7610
392;140;173,11;0,7605
393;386;-342,70;0,7600
394;12;-203,81;0,7594
395;554;-372,33;0,7589
396;290;129,71;0,7584
397;231;118,45;0,7578
398;346;119,80;0,7573
399;97;-218,96;0,7568
400;335;108,96;0,7562
401;93;185,08;0,7557
402;600;-188,60;0,7552
