Episode;Steps;TotalReward;Epsilon
1;7;-203,96;1,0000
2;600;-217,75;0,9993
3;4;-202,43;0,9986
4;524;11,87;0,9979
5;600;-249,85;0,9972
6;599;-8,08;0,9965
7;355;132,51;0,9958
8;5;-201,44;0,9951
9;600;-231,20;0,9944
10;600;-221,20;0,9937
11;600;-233,95;0,9930
12;600;-230,50;0,9923
13;600;-245,70;0,9916
14;9;-202,58;0,9909
15;441;81,15;0,9902
16;6;-203,45;0,9896
17;36;223,65;0,9889
18;600;-252,50;0,9882
19;600;-249,25;0,9875
20;8;218,98;0,9868
21;356;116,70;0,9861
22;600;-237,35;0,9854
23;600;-214,55;0,9847
24;600;-215,50;0,9840
25;41;218,80;0,9833
26;600;-243,15;0,9826
27;600;-239,40;0,9820
28;2;-202,11;0,9813
29;22;224,94;0,9806
30;600;-222,60;0,9799
31;600;-238,80;0,9792
32;177;166,14;0,9785
33;600;-245,95;0,9778
34;316;128,80;0,9772
35;600;-211,50;0,9765
36;195;198,51;0,9758
37;136;190,15;0,9751
38;600;-206,45;0,9744
39;2;199,94;0,9737
40;600;-227,35;0,9731
41;9;-203,18;0,9724
42;47;221,49;0,9717
43;4;-202,43;0,9710
44;10;-204,59;0,9703
45;5;-202,94;0,9697
46;95;194,91;0,9690
47;13;217,58;0,9683
48;120;213,41;0,9676
49;207;169,64;0,9669
50;600;-235,25;0,9663
51;600;-222,20;0,9656
52;600;-211,75;0,9649
53;23;212,63;0,9642
54;81;228,50;0,9636
55;4;-202,43;0,9629
56;34;211,97;0,9622
57;600;-204,55;0,9615
58;595;22,36;0,9609
59;109;200,52;0,9602
60;84;204,22;0,9595
61;33;219,13;0,9589
62;32;234,54;0,9582
63;375;109,11;0,9575
64;4;-202,43;0,9568
65;136;187,60;0,9562
66;43;214,63;0,9555
67;21;213,20;0,9548
68;600;-236,35;0,9542
69;268;139,08;0,9535
70;4;-202,43;0,9528
71;74;217,62;0,9522
72;231;159,85;0,9515
73;5;-201,44;0,9508
74;7;-203,06;0,9502
75;207;183,69;0,9495
76;82;216,29;0,9488
77;600;-211,10;0,9482
78;315;132,41;0,9475
79;90;226,51;0,9468
80;600;-222,90;0,9462
81;600;-231,15;0,9455
82;521;53,60;0,9449
83;600;-240,90;0,9442
84;4;-200,93;0,9435
85;9;218,47;0,9429
86;11;224,10;0,9422
87;600;-226,05;0,9416
88;600;-217,85;0,9409
89;4;-200,93;0,9402
90;600;-236,70;0,9396
91;600;-272,50;0,9389
92;600;-210,85;0,9383
93;8;218,53;0,9376
94;29;215,92;0,9370
95;131;201,60;0,9363
96;393;112,83;0,9356
97;285;119,36;0,9350
98;7;218,84;0,9343
99;600;-196,15;0,9337
100;600;-218,80;0,9330
101;600;-211,85;0,9324
102;600;-218,25;0,9317
103;4;-202,43;0,9311
104;102;205,14;0,9304
105;106;213,00;0,9298
106;600;-236,75;0,9291
