Episode;Steps;TotalReward;Epsilon
1;600;-274,65;1,0000
2;600;-252,25;0,9993
3;191;199,55;0,9986
4;183;173,28;0,9979
5;600;-205,75;0,9972
6;600;-224,95;0,9965
7;384;48,52;0,9958
8;94;191,42;0,9951
9;154;169,52;0,9944
10;600;-231,75;0,9937
11;600;-239,60;0,9930
12;2;-200,51;0,9923
13;600;-193,25;0,9916
14;7;-203,06;0,9909
15;332;111,29;0,9902
16;600;-197,40;0,9896
17;6;-203,45;0,9889
18;521;-346,90;0,9882
19;487;22,69;0,9875
20;520;5,66;0,9868
21;366;69,15;0,9861
22;198;164,08;0,9854
23;212;165,44;0,9847
24;103;196,03;0,9840
25;215;124,46;0,9833
26;5;-202,94;0,9826
27;56;-199,00;0,9820
28;443;-347,77;0,9813
29;600;-243,10;0,9806
30;245;-275,79;0,9799
31;11;-204,20;0,9792
32;166;151,70;0,9785
33;374;39,42;0,9778
34;220;-268,59;0,9772
35;56;-199,45;0,9765
36;296;126,40;0,9758
37;72;179,94;0,9751
38;600;-239,20;0,9744
39;5;-202,94;0,9737
40;2;199,94;0,9731
41;253;169,63;0,9724
42;479;80,27;0,9717
43;6;-202,55;0,9710
44;50;205,31;0,9703
45;329;168,92;0,9697
46;600;-194,05;0,9690
47;133;182,73;0,9683
48;5;-202,94;0,9676
49;131;-208,20;0,9669
50;235;-251,19;0,9663
51;104;198,72;0,9656
52;273;152,68;0,9649
53;329;85,07;0,9642
54;284;152,27;0,9636
55;5;-202,94;0,9629
56;2;199,94;0,9622
57;4;-202,43;0,9615
58;161;155,10;0,9609
59;540;-386,84;0,9602
60;111;-227,25;0,9595
61;600;-222,25;0,9589
62;491;7,65;0,9582
63;177;-257,46;0,9575
64;20;-206,09;0,9568
65;398;68,38;0,9562
66;600;-231,35;0,9555
67;261;-304,05;0,9548
68;243;121,13;0,9542
69;4;-202,43;0,9535
70;246;-256,80;0,9528
71;138;-185,92;0,9522
72;416;-333,45;0,9515
73;5;-202,94;0,9508
74;186;163,95;0,9502
75;311;88,70;0,9495
76;600;-255,90;0,9488
77;230;-252,04;0,9482
78;68;-203,47;0,9475
79;600;-239,30;0,9468
80;174;-255,98;0,9462
81;160;-247,14;0,9455
